R0,k,k_label,generation_g,p_survive,p_survive_ultimate,frac_of_ultimate
2.0,1,1,4,0.5161290322580645,0.4999999999999998,1.0322580645161294
2.0,1,1,5,0.5079365079365079,0.4999999999999998,1.0158730158730163
2.0,1,1,6,0.5039370078740157,0.4999999999999998,1.007874015748032
2.0,1,1,7,0.5019607843137255,0.4999999999999998,1.0039215686274514
2.0,1,1,8,0.5009784735812133,0.4999999999999998,1.001956947162427
2.0,1,1,9,0.5004887585532747,0.4999999999999998,1.0009775171065498
2.0,1,1,10,0.5002442598925256,0.4999999999999998,1.0004885197850517
2.0,1,1,11,0.5001221001221001,0.4999999999999998,1.0002442002442007
2.0,1,1,12,0.5000610426077402,0.4999999999999998,1.0001220852154808
2.0,2,2,1,0.75,0.6180339887498948,1.2135254915624212
2.0,2,2,2,0.673469387755102,0.6180339887498948,1.0896963597703373
2.0,2,2,3,0.6429208804283164,0.6180339887498948,1.040267836610023
2.0,2,2,4,0.6295183505741315,0.6180339887498948,1.0185820877707168
2.0,2,2,5,0.6233989826724051,0.6180339887498948,1.0086807425160584
2.0,2,2,6,0.6205544525265847,0.6180339887498948,1.0040781960580971
2.0,2,2,7,0.6192212155302725,0.6180339887498948,1.0019209732830052
2.0,2,2,8,0.6185939048695729,0.6180339887498948,1.0009059633124882
2.0,2,2,9,0.6182982081253103,0.6180339887498948,1.0004275159299085
2.0,2,2,10,0.6181587056674402,0.6180339887498948,1.0002017962115606
2.0,2,2,11,0.6180928652835349,0.6180339887498948,1.0000952642325696
2.0,2,2,12,0.6180617849611626,0.6180339887498948,1.0000449752145897
2.0,5,5,1,0.8140655679181293,0.7162322562441895,1.1365943949340713
2.0,5,5,2,0.7557162599691365,0.7162322562441895,1.0551273743687486
2.0,5,5,3,0.7330270251844078,0.7162322562441895,1.0234487748824486
2.0,5,5,4,0.7235265902744927,0.7162322562441895,1.0101843137707223
2.0,5,5,5,0.719428367900296,0.7162322562441895,1.0044623955822185
2.0,5,5,6,0.7176380250753029,0.7162322562441895,1.0019627276192293
2.0,5,5,7,0.7168515978756758,0.7162322562441895,1.0008647217799629
2.0,5,5,8,0.7165053206224412,0.7162322562441895,1.000381251159622
2.0,5,5,9,0.7163526877365345,0.7162322562441895,1.0001681458651088
2.0,5,5,10,0.7162853785492387,0.7162322562441895,1.0000741691044854
2.0,5,5,11,0.7162556899525261,0.7162322562441895,1.000032718029846
2.0,5,5,12,0.716242593783061,0.7162322562441895,1.0000144332216
2.0,Poisson,Poisson,1,0.8646647167633873,0.7968121300200199,1.085155062513497
2.0,Poisson,Poisson,2,0.8225966691808597,0.7968121300200199,1.0323596217846132
2.0,Poisson,Poisson,3,0.8070247503317746,0.7968121300200199,1.0128168484476987
2.0,Poisson,Poisson,4,0.8009201942366403,0.7968121300200199,1.005155624596876
2.0,Poisson,Poisson,5,0.7984747083247583,0.7968121300200199,1.0020865373933208
2.0,Poisson,Poisson,6,0.7974866394625985,0.7968121300200199,1.0008465100080262
2.0,Poisson,Poisson,7,0.797086049491047,0.7968121300200199,1.0003437692031873
2.0,Poisson,Poisson,8,0.796923413762181,0.7968121300200199,1.0001396612049045
2.0,Poisson,Poisson,9,0.7968573480008734,0.7968121300200199,1.000056748610055
2.0,Poisson,Poisson,10,0.7968305046795713,0.7968121300200199,1.0000230602156508
2.0,Poisson,Poisson,11,0.7968195968986895,0.7968121300200199,1.00000937094001
2.0,Poisson,Poisson,12,0.7968151643557075,0.7968121300200199,1.0000038080942462
2.5,0.05,0.05,1,0.1784736623957589,0.07490204366866182,2.382760918851007
2.5,0.05,0.05,2,0.10840760465653432,0.07490204366866182,1.4473250574588907
2.5,0.05,0.05,3,0.08878268727525795,0.07490204366866182,1.185317288110306
2.5,0.05,0.05,4,0.08119465994433572,0.07490204366866182,1.0840112761610357
2.5,0.05,0.05,5,0.07786688152989829,0.07490204366866182,1.0395828700529426
2.5,0.05,0.05,6,0.07632388760366227,0.07490204366866182,1.0189827121578972
2.5,0.05,0.05,7,0.075589649291391,0.07490204366866182,1.0091800649094553
2.5,0.05,0.05,8,0.07523591152246167,0.07490204366866182,1.0044573931156906
2.5,0.05,0.05,9,0.07506446977191406,0.07490204366866182,1.0021685136385696
2.5,0.05,0.05,10,0.0749811384872403,0.07490204366866182,1.0010559767758591
2.5,0.05,0.05,11,0.07494057732630743,0.07490204366866182,1.0005144540223236
2.5,0.05,0.05,12,0.07492082082547902,0.07490204366866182,1.000250689512562
2.5,0.1,0.1,1,0.27805740661833167,0.1393146077591252,1.9958955567609438
2.5,0.1,0.1,2,0.1872528639918133,0.1393146077591252,1.3441007156663234
2.5,0.1,0.1,3,0.1594664314704145,0.1393146077591252,1.1446497537869955
2.5,0.1,0.1,4,0.14843261949800224,0.1393146077591252,1.0654490716051979
2.5,0.1,0.1,5,0.14357292105698372,0.1393146077591252,1.0305661650730924
2.5,0.1,0.1,6,0.1413322789019119,0.1393146077591252,1.0144828397771128
2.5,0.1,0.1,7,0.14027711544088384,0.1393146077591252,1.0069088783813887
2.5,0.1,0.1,8,0.13977523937301017,0.1393146077591252,1.003306412883001
2.5,0.1,0.1,9,0.13953539276289073,0.1393146077591252,1.0015847943537068
2.5,0.1,0.1,10,0.13942050981303855,0.1393146077591252,1.000760164749532
2.5,0.1,0.1,11,0.13936542278015918,0.1393146077591252,1.000364750128155
2.5,0.1,0.1,12,0.13933899446776288,0.1393146077591252,1.0001750477500526
2.5,0.2,0.2,1,0.4057991806779989,0.244041774054099,1.6628267117417432
2.5,0.2,0.2,2,0.30284934170122346,0.244041774054099,1.2409733656258706
2.5,0.2,0.2,3,0.2688400129774935,0.244041774054099,1.1016147297712122
2.5,0.2,0.2,4,0.25510898014550765,0.244041774054099,1.0453496379228717
2.5,0.2,0.2,5,0.2491022825423721,0.244041774054099,1.0207362387357146
2.5,0.2,0.2,6,0.24638103592412508,0.244041774054099,1.0095854977251046
2.5,0.2,0.2,7,0.2451285258974163,0.244041774054099,1.0044531385969862
2.5,0.2,0.2,8,0.24454781369413203,0.244041774054099,1.0020735779437535
2.5,0.2,0.2,9,0.2442776614171347,0.244041774054099,1.0009665860033594
2.5,0.2,0.2,10,0.2441517865047571,0.244041774054099,1.0004507935212508
2.5,0.2,0.2,11,0.24409309328957485,0.244041774054099,1.0002102887330448
2.5,0.2,0.2,12,0.24406571634505703,0.244041774054099,1.0000981073467887
2.5,0.5,0.5,1,0.591751709536137,0.441742430504416,1.339585397899017
2.5,0.5,0.5,2,0.4974023044935886,0.441742430504416,1.1260007419382734
2.5,0.5,0.5,3,0.4644829424218251,0.441742430504416,1.0514791207433758
2.5,0.5,0.5,4,0.4513781764017847,0.441742430504416,1.0218130413380617
2.5,0.5,0.5,5,0.4458869277702152,0.441742430504416,1.0093821579717093
2.5,0.5,0.5,6,0.44353641365594676,0.441742430504416,1.004061151991857
2.5,0.5,0.5,7,0.4425210994340566,0.441742430504416,1.0017627216130256
2.5,0.5,0.5,8,0.442080808190783,0.441742430504416,1.0007660067564272
2.5,0.5,0.5,9,0.4418895512381459,0.441742430504416,1.0003330464170306
2.5,0.5,0.5,10,0.44180641033531187,0.441742430504416,1.000144835149349
2.5,0.5,0.5,11,0.441770256741813,0.441742430504416,1.0000629919959585
2.5,0.5,0.5,12,0.441754533259166,0.441742430504416,1.0000273977637517
2.5,1,1,1,0.7142857142857143,0.6,1.1904761904761905
2.5,1,1,2,0.6410256410256411,0.6,1.0683760683760686
2.5,1,1,3,0.6157635467980296,0.6,1.0262725779967161
2.5,1,1,4,0.6062075654704171,0.6,1.0103459424506953
2.5,1,1,5,0.6024677077308657,0.6,1.0041128462181095
2.5,1,1,6,0.6009846532558945,0.6,1.0016410887598242
2.5,1,1,7,0.6003934738670336,0.6,1.0006557897783894
2.5,1,1,8,0.6001573276424975,0.6,1.0002622127374958
2.5,1,1,9,0.6000629211577616,0.6,1.0001048685962695
2.5,1,1,10,0.6000251668795755,0.6,1.0000419447992925
2.5,1,1,11,0.6000100664984879,0.6,1.0000167774974797
2.5,1,1,12,0.6000040265588618,0.6,1.0000067109314363
2.5,2,2,1,0.8024691358024691,0.7246950765959599,1.1073197013726515
2.5,2,2,2,0.7507698224838022,0.7246950765959599,1.0359802994803287
2.5,2,2,3,0.7338752345803004,0.7246950765959599,1.0126676146710718
2.5,2,2,4,0.7279805846101401,0.7246950765959599,1.004533641969272
2.5,2,2,5,0.7258777409340974,0.7246950765959599,1.0016319475270796
2.5,2,2,6,0.7251216732062178,0.7246950765959599,1.0005886566971887
2.5,2,2,7,0.7248490678791963,0.7246950765959599,1.0002124911403563
2.5,2,2,8,0.724750678712472,0.7246950765959599,1.0000767248437417
2.5,2,2,9,0.724715154970131,0.7246950765959599,1.0000277059618858
2.5,2,2,10,0.724702327312724,0.7246950765959599,1.0000100051966658
2.5,2,2,11,0.7246976950129993,0.7246950765959599,1.000003613129334
2.5,2,2,12,0.7246960221768259,0.7246950765959599,1.0000013047982477
2.5,5,5,1,0.8683127572016461,0.8208299300188366,1.057847338950859
2.5,5,5,2,0.835177136170469,0.8208299300188366,1.0174789022998991
2.5,5,5,3,0.825317664940102,0.8208299300188366,1.0054673139430508
2.5,5,5,4,0.8222483855101553,0.8208299300188366,1.0017280747685287
2.5,5,5,5,0.8212797299623301,0.8208299300188366,1.0005479818986172
2.5,5,5,6,0.8209727109583838,0.8208299300188366,1.000173947043505
2.5,5,5,7,0.8208752680707369,0.8208299300188366,1.000055234403915
2.5,5,5,8,0.8208443279628181,0.8208299300188366,1.0000175407151408
2.5,5,5,9,0.8208345025049383,0.8208299300188366,1.00000557056454
2.5,5,5,10,0.8208313821600348,0.8208299300188366,1.0000017691133634
2.5,5,5,11,0.8208303911948819,0.8208299300188366,1.0000005618411663
2.5,5,5,12,0.8208300764808811,0.8208299300188366,1.000000178431657
2.5,Poisson,Poisson,1,0.9179150013761012,0.8926447536092091,1.0283094116273215
2.5,Poisson,Poisson,2,0.8992171930071806,0.8926447536092091,1.0073628835787107
2.5,Poisson,Poisson,3,0.8943943053461809,0.8926447536092091,1.0019599641737633
2.5,Poisson,Poisson,4,0.8931132871022637,0.8926447536092091,1.0005248823691173
2.5,Poisson,Poisson,5,0.8927704288125106,0.8926447536092091,1.0001407897181867
2.5,Poisson,Poisson,6,0.8926784780420646,0.8926447536092091,1.0000377803518354
2.5,Poisson,Poisson,7,0.8926538044646565,0.8926447536092091,1.0000101393700134
2.5,Poisson,Poisson,8,0.8926471827237685,0.8926447536092091,1.0000027212556277
2.5,Poisson,Poisson,9,0.8926454055527097,0.8926447536092091,1.0000007303504534
2.5,Poisson,Poisson,10,0.8926449285829544,0.8926447536092091,1.0000001960172225
2.5,Poisson,Poisson,11,0.8926448005700727,0.8926447536092091,1.0000000526086814
2.5,Poisson,Poisson,12,0.8926447662129461,0.8926447536092091,1.000000014119544
3.0,0.05,0.05,1,0.18579548141798197,0.08760042433427562,2.120942710380061
3.0,0.05,0.05,2,0.1173769897153133,0.08760042433427562,1.3399134833800905
3.0,0.05,0.05,3,0.09898893549668375,0.08760042433427562,1.130005205442277
3.0,0.05,0.05,4,0.09231720449267045,0.08760042433427562,1.0538442615345789
3.0,0.05,0.05,5,0.08961660879023992,0.08760042433427562,1.0230156928038465
3.0,0.05,0.05,6,0.08847372679675358,0.08760042433427562,1.0099691579020842
3.0,0.05,0.05,7,0.087980849748303,0.08760042433427562,1.0043427348316911
3.0,0.05,0.05,8,0.08776655382294118,0.08760042433427562,1.001896446163681
3.0,0.05,0.05,9,0.08767305023174743,0.08760042433427562,1.0008290587405682
3.0,0.05,0.05,10,0.08763218872773648,0.08760042433427562,1.000362605474828
3.0,0.05,0.05,11,0.08761431998653613,0.08760042433427562,1.0001586253989763
3.0,0.05,0.05,12,0.08760650367346168,0.08760042433427562,1.0000693985129896
3.0,0.1,0.1,1,0.2906446793048537,0.16211411611274928,1.792840045481988
3.0,0.1,0.1,2,0.20340730252585393,0.16211411611274928,1.2547167847146976
3.0,0.1,0.1,3,0.17802124364467675,0.16211411611274928,1.0981230253932
3.0,0.1,0.1,4,0.16864462533959523,0.16211411611274928,1.040283408893918
3.0,0.1,0.1,5,0.16486347780796884,0.16211411611274928,1.016959421925401
3.0,0.1,0.1,6,0.1632837409659107,0.16211411611274928,1.0072148242312715
3.0,0.1,0.1,7,0.16261389239780566,0.16211411611274928,1.0030828671619736
3.0,0.1,0.1,8,0.1623280700991626,0.16211411611274928,1.001319773944081
3.0,0.1,0.1,9,0.1622057832970233,0.16211411611274928,1.0005654485030178
3.0,0.1,0.1,10,0.16215340382597476,0.16211411611274928,1.0002423460348027
3.0,0.1,0.1,11,0.16213095694721225,0.16211411611274928,1.0001038825912683
3.0,0.1,0.1,12,0.16212133545934548,0.16211411611274928,1.0000445324982754
3.0,0.2,0.2,1,0.42565082250148245,0.28150693623784595,1.51204381742782
3.0,0.2,0.2,2,0.3296020225414289,0.28150693623784595,1.1708486723145866
3.0,0.2,0.2,3,0.2998617631901569,0.28150693623784595,1.065202041546866
3.0,0.2,0.2,4,0.2888516366161965,0.28150693623784595,1.0260906550883173
3.0,0.2,0.2,5,0.28450046595313827,0.28150693623784595,1.0106339465566954
3.0,0.2,0.2,6,0.2827360956818853,0.28150693623784595,1.0043663558009128
3.0,0.2,0.2,7,0.2820131645668056,0.28150693623784595,1.0017982801266818
3.0,0.2,0.2,8,0.2817156853086198,0.28150693623784595,1.000741541482294
3.0,0.2,0.2,9,0.2815930604169625,0.28150693623784595,1.0003059398118836
3.0,0.2,0.2,10,0.28154247623429896,0.28150693623784595,1.0001262490968357
3.0,0.2,0.2,11,0.28152160344806987,0.28150693623784595,1.0000521024825175
3.0,0.2,0.2,12,0.2815129895528409,0.28150693623784595,1.0000215032534396
3.0,0.5,0.5,1,0.6220355269907727,0.4999999999999998,1.2440710539815458
3.0,0.5,0.5,2,0.5403070424729574,0.4999999999999998,1.0806140849459152
3.0,0.5,0.5,3,0.5144625389387829,0.4999999999999998,1.0289250778775663
3.0,0.5,0.5,4,0.5053367761476835,0.4999999999999998,1.0106735522953674
3.0,0.5,0.5,5,0.5019893551553112,0.4999999999999998,1.0039787103106228
3.0,0.5,0.5,6,0.5007443427395479,0.4999999999999998,1.0014886854790963
3.0,0.5,0.5,7,0.5002788950063906,0.4999999999999998,1.0005577900127816
3.0,0.5,0.5,8,0.5001045528243716,0.4999999999999998,1.0002091056487437
3.0,0.5,0.5,9,0.5000392026981028,0.4999999999999998,1.000078405396206
3.0,0.5,0.5,10,0.5000147003634611,0.4999999999999998,1.0000294007269226
3.0,0.5,0.5,11,0.500005512545132,0.4999999999999998,1.0000110250902645
3.0,0.5,0.5,12,0.5000020671916046,0.4999999999999998,1.0000041343832096
3.0,1,1,1,0.75,0.6666666666666666,1.125
3.0,1,1,2,0.6923076923076923,0.6666666666666666,1.0384615384615385
3.0,1,1,3,0.675,0.6666666666666666,1.0125000000000002
3.0,1,1,4,0.6694214876033058,0.6666666666666666,1.0041322314049588
3.0,1,1,5,0.6675824175824175,0.6666666666666666,1.0013736263736264
3.0,1,1,6,0.666971637694419,0.6666666666666666,1.0004574565416287
3.0,1,1,7,0.6667682926829268,0.6666666666666666,1.0001524390243903
3.0,1,1,8,0.6667005385631541,0.6666666666666666,1.0000508078447312
3.0,1,1,9,0.666677956916407,0.6666666666666666,1.0000169353746104
3.0,1,1,10,0.6666704300407573,0.6666666666666666,1.000005645061136
3.0,1,1,11,0.6666679211199759,0.6666666666666666,1.0000018816799638
3.0,1,1,12,0.6666670848172451,0.6666666666666666,1.0000006272258677
3.0,2,2,1,0.8400000000000001,0.7907604410896715,1.0622686168297395
3.0,2,2,2,0.8042133291565511,0.7907604410896715,1.0170125961894876
3.0,2,2,3,0.79457041026917,0.7907604410896715,1.004818107964845
3.0,2,2,4,0.7918501437735657,0.7907604410896715,1.0013780440033047
3.0,2,2,5,0.7910729828870127,0.7907604410896715,1.000395242074718
3.0,2,2,6,0.7908501540879009,0.7907604410896715,1.0001134515506438
3.0,2,2,7,0.7907861985014547,0.7907604410896715,1.0000325729645096
3.0,2,2,8,0.7907678367619231,0.7907604410896715,1.0000093526077776
3.0,2,2,9,0.7907625646338443,0.7907604410896715,1.0000026854456325
3.0,2,2,10,0.7907610508333389,0.7907604410896715,1.000000771085193
3.0,2,2,11,0.790760616168638,0.7907604410896715,1.0000002214058235
3.0,2,2,12,0.7907604913610558,0.7907604410896715,1.000000063573469
3.0,5,5,1,0.904632568359375,0.879926959030292,1.028076886468292
3.0,5,5,2,0.8855856111860763,0.879926959030292,1.0064308203058356
3.0,5,5,3,0.8812521520720344,0.879926959030292,1.0015060261856312
3.0,5,5,4,0.8802388891517575,0.879926959030292,1.0003544954706345
3.0,5,5,5,0.8800004702464823,0.879926959030292,1.0000835424070553
3.0,5,5,6,0.879944287965005,0.879926959030292,1.0000196936058556
3.0,5,5,7,0.879931044282432,0.879926959030292,1.000004642717328
3.0,5,5,8,0.8799279221330853,0.879926959030292,1.0000010945258393
3.0,5,5,9,0.8799271860836955,0.879926959030292,1.0000002580366485
3.0,5,5,10,0.879927012558631,0.879926959030292,1.000000060832707
3.0,5,5,11,0.8799269716497182,0.879926959030292,1.0000000143414474
3.0,5,5,12,0.8799269620053503,0.879926959030292,1.0000000033810286
3.0,Poisson,Poisson,1,0.950212931632136,0.9404797907073597,1.0103491228848798
3.0,Poisson,Poisson,2,0.9421926179826896,0.9404797907073597,1.0018212270930795
3.0,Poisson,Poisson,3,0.9407848497796084,0.9404797907073597,1.000324365366766
3.0,Poisson,Poisson,4,0.9405342373288863,0.9404797907073597,1.0000578923886134
3.0,Poisson,Poisson,5,0.9404895119363316,0.9404797907073597,1.0000103364570594
3.0,Poisson,Poisson,6,0.9404815265107973,0.9404797907073597,1.0000018456573494
3.0,Poisson,Poisson,7,0.9404801006527044,0.9404797907073597,1.000000329560877
3.0,Poisson,Poisson,8,0.9404798460513693,0.9404797907073597,1.0000000588465698
3.0,Poisson,Poisson,9,0.9404798005896199,0.9404797907073597,1.0000000105076796
3.0,Poisson,Poisson,10,0.9404797924719422,0.9404797907073597,1.0000000018762578
3.0,Poisson,Poisson,11,0.9404797910224446,0.9404797907073597,1.0000000003350258
3.0,Poisson,Poisson,12,0.9404797907636214,0.9404797907073597,1.0000000000598224
4.0,0.05,0.05,1,0.1972584382397693,0.10658694951551073,1.8506809617538016
4.0,0.05,0.05,2,0.13152058599378924,0.10658694951551073,1.2339276674265842
4.0,0.05,0.05,3,0.11503871453382553,0.10658694951551073,1.0792945576989692
4.0,0.05,0.05,4,0.1096445962226873,0.10658694951551073,1.0286868769682878
4.0,0.05,0.05,5,0.10771870741018696,0.10658694951551073,1.0106181657306135
4.0,0.05,0.05,6,0.10700937820381173,0.10658694951551073,1.0039632308666413
4.0,0.05,0.05,7,0.10674511217196325,0.10658694951551073,1.0014838838823275
4.0,0.05,0.05,8,0.10664623650886373,0.10658694951551073,1.0005562312611673
4.0,0.05,0.05,9,0.10660918282250187,0.10658694951551073,1.0002085931447724
4.0,0.05,0.05,10,0.10659528862403489,0.10658694951551073,1.0000782376131605
4.0,0.05,0.05,11,0.10659007747979721,0.10658694951551073,1.0000293465973151
4.0,0.05,0.05,12,0.10658812282861962,0.10658694951551073,1.0000110080372338
4.0,0.1,0.1,1,0.3102025027216353,0.1957125326710334,1.5849904882843873
4.0,0.1,0.1,2,0.22862905639252085,0.1957125326710334,1.1681881240421927
4.0,0.1,0.1,3,0.20681571658250097,0.1957125326710334,1.05673210478621
4.0,0.1,0.1,4,0.19965043508495262,0.1957125326710334,1.0201208494937741
4.0,0.1,0.1,5,0.19713361587258138,0.1957125326710334,1.0072610740975727
4.0,0.1,0.1,6,0.1962285568653973,0.1957125326710334,1.0026366435880285
4.0,0.1,0.1,7,0.19590033305172938,0.1957125326710334,1.0009595725839984
4.0,0.1,0.1,8,0.19578093605789093,0.1957125326710334,1.0003495094868171
4.0,0.1,0.1,9,0.1957374549580979,0.1957125326710334,1.0001273412935001
4.0,0.1,0.1,10,0.19572161391265241,0.1957125326710334,1.000046400920243
4.0,0.1,0.1,11,0.19571584184584645,0.1957125326710334,1.000016908343926
4.0,0.1,0.1,12,0.19571373854088137,0.1957125326710334,1.0000061614339741
4.0,0.2,0.2,1,0.4560535571111215,0.33528008913623397,1.3602166424079354
4.0,0.2,0.2,2,0.37055946918599214,0.33528008913623397,1.105223606151641
4.0,0.2,0.2,3,0.3468265585058443,0.33528008913623397,1.034438279348341
4.0,0.2,0.2,4,0.33919418699404746,0.33528008913623397,1.011674113628093
