R0,k,k_label,extinction_prob,establishment_n1
2.1914786967418545,0.05,0.05,0.9346392747494872,0.06536072525051284
2.206015037593985,0.05,0.05,0.9341524617170651,0.06584753828293488
2.2205513784461153,0.05,0.05,0.9336696965174685,0.06633030348253155
2.2350877192982455,0.05,0.05,0.9331909167718768,0.06680908322812318
2.249624060150376,0.05,0.05,0.9327160614905896,0.06728393850941039
2.2641604010025063,0.05,0.05,0.9322450710327983,0.0677549289672017
2.2786967418546364,0.05,0.05,0.9317778870677842,0.0682221129322158
2.293233082706767,0.05,0.05,0.9313144525374881,0.06868554746251188
2.3077694235588972,0.05,0.05,0.9308547116203891,0.06914528837961087
2.3223057644110274,0.05,0.05,0.9303986096966419,0.0696013903033581
2.336842105263158,0.05,0.05,0.9299460933144197,0.07005390668558031
2.3513784461152882,0.05,0.05,0.9294971101574141,0.0705028898425859
2.3659147869674184,0.05,0.05,0.9290516090134426,0.07094839098655736
2.380451127819549,0.05,0.05,0.9286095397441239,0.07139046025587614
2.394987468671679,0.05,0.05,0.9281708532555712,0.07182914674442875
2.4095238095238094,0.05,0.05,0.9277355014700719,0.07226449852992811
2.42406015037594,0.05,0.05,0.9273034372987043,0.07269656270129565
2.43859649122807,0.05,0.05,0.9268746146148645,0.07312538538513547
2.4531328320802004,0.05,0.05,0.9264489882286604,0.0735510117713396
2.467669172932331,0.05,0.05,0.9260265138621435,0.07397348613785648
2.482205513784461,0.05,0.05,0.9256071481253436,0.07439285187465638
2.4967418546365914,0.05,0.05,0.9251908484930773,0.07480915150692269
2.511278195488722,0.05,0.05,0.9247775732825003,0.07522242671749968
2.525814536340852,0.05,0.05,0.9243672816313742,0.07563271836862584
2.5403508771929824,0.05,0.05,0.9239599334770232,0.07604006652297679
2.554887218045113,0.05,0.05,0.9235554895359521,0.07644451046404788
2.569423558897243,0.05,0.05,0.9231539112841034,0.0768460887158966
2.5839598997493733,0.05,0.05,0.9227551609377278,0.0772448390622722
2.5984962406015035,0.05,0.05,0.9223592014348472,0.07764079856515282
2.613032581453634,0.05,0.05,0.9219659964172879,0.07803400358271206
2.6275689223057643,0.05,0.05,0.921575510213263,0.078424489786737
2.6421052631578945,0.05,0.05,0.9211877078204838,0.07881229217951624
2.656641604010025,0.05,0.05,0.9208025548897825,0.07919744511021753
2.6711779448621553,0.05,0.05,0.9204200177092268,0.07957998229077323
2.6857142857142855,0.05,0.05,0.9200400631887087,0.07995993681129132
2.700250626566416,0.05,0.05,0.9196626588449923,0.08033734115500768
2.7147869674185463,0.05,0.05,0.9192877727872029,0.08071222721279714
2.7293233082706765,0.05,0.05,0.918915373702742,0.08108462629725799
2.743859649122807,0.05,0.05,0.9185454308436147,0.08145456915638527
2.7583959899749373,0.05,0.05,0.9181779140131539,0.08182208598684615
2.7729323308270675,0.05,0.05,0.917812793553128,0.08218720644687205
2.787468671679198,0.05,0.05,0.9174500403312205,0.08254995966877954
2.8020050125313283,0.05,0.05,0.9170896257288652,0.08291037427113479
2.8165413533834585,0.05,0.05,0.9167315216294296,0.08326847837057039
2.831077694235589,0.05,0.05,0.916375700406731,0.083624299593269
2.8456140350877193,0.05,0.05,0.9160221349138757,0.08397786508612426
2.8601503759398494,0.05,0.05,0.9156707984724115,0.0843292015275885
2.87468671679198,0.05,0.05,0.9153216648617808,0.08467833513821921
2.8892230576441102,0.05,0.05,0.9149747083090667,0.08502529169093331
2.9037593984962404,0.05,0.05,0.9146299034790206,0.08537009652097938
2.918295739348371,0.05,0.05,0.9142872254643639,0.08571277453563608
2.9328320802005012,0.05,0.05,0.9139466497763529,0.08605335022364713
2.9473684210526314,0.05,0.05,0.9136081523356012,0.08639184766439878
2.961904761904762,0.05,0.05,0.9132717094631473,0.08672829053685271
2.976441102756892,0.05,0.05,0.9129372978717643,0.08706270212823575
2.9909774436090224,0.05,0.05,0.9126048946574998,0.08739510534250017
3.005513784461153,0.05,0.05,0.9122744772914422,0.08772552270855782
3.020050125313283,0.05,0.05,0.9119460236117021,0.08805397638829793
3.0345864661654134,0.05,0.05,0.9116195118156076,0.08838048818439237
3.049122807017544,0.05,0.05,0.9112949204521024,0.08870507954789764
3.063659147869674,0.05,0.05,0.9109722284143404,0.08902777158565955
3.0781954887218044,0.05,0.05,0.9106514149324756,0.08934858506752441
3.092731829573935,0.05,0.05,0.910332459566634,0.089667540433366
3.107268170426065,0.05,0.05,0.910015342200069,0.08998465779993103
3.1218045112781954,0.05,0.05,0.9097000430324895,0.09029995696751048
3.1363408521303255,0.05,0.05,0.909386542573559,0.090613457426441
3.150877192982456,0.05,0.05,0.9090748216365574,0.0909251783634426
3.1654135338345863,0.05,0.05,0.9087648613322037,0.09123513866779631
3.1799498746867165,0.05,0.05,0.9084566430626337,0.09154335693736626
3.194486215538847,0.05,0.05,0.9081501485155254,0.09184985148447455
3.2090225563909773,0.05,0.05,0.9078453596583735,0.09215464034162646
3.2235588972431075,0.05,0.05,0.9075422587329021,0.09245774126709794
3.238095238095238,0.05,0.05,0.9072408282496165,0.0927591717503835
3.2526315789473683,0.05,0.05,0.9069410509824893,0.09305894901751066
3.2671679197994985,0.05,0.05,0.9066429099637721,0.09335709003622794
3.281704260651629,0.05,0.05,0.9063463884789371,0.09365361152106289
3.2962406015037593,0.05,0.05,0.9060514700617384,0.09394852993826164
3.3107769423558895,0.05,0.05,0.9057581384893918,0.0942418615106082
3.32531328320802,0.05,0.05,0.905466377777872,0.09453362222212802
